6,are you a machine?
13,how are the things going?
5,nah not for me
13,What's going on?
6,are you a bot?
9,this is total bs
4,how many days i have already taken?
3,thx
2,hi hi
3,ok thanks!
0,yup
11,don't you want to help me?
5,i didn't do that
6,you are a chatbot
4,ok i want to know my total leave days
3,thanks for your help
0,amazing!
5,no i can't
2,hallo
0,yes please
0,amayzing
11,What are you able to do?
5,I haven't
0,oh cool
13,how is it going?
5,i said no
4,what number of days i already took off?
2,heeey
2,helloooo
10,we'll speak soon
1,who are you?
3,Thanks!
2,hello?
5,No, not really.
0,ja
13,What's up man
1,what's your name?
2,good morning
2,hello is anybody there
9,/restart
0,Yes
9,how can we get this going again?
0,definitely yes without a doubt
4,how many leaves do i have booked?
0,accept
8,stupid
4,how much vacation do i have taken this year?
0,sure thing
13,everything's ok?
13,how have you been
5,never mind
10,bye balu
1,how are you called?
5,incorrect
13,are you okay
3,Thank you
2,jojojo
3,Thanks bot
0,fine
10,good bye
0,yeah
8,you're useless
3,thanx
0,yes
8,shitty
2,good evening
3,Cool. Thanks
10,c u
2,hello balu
10,bye for now
2,what up
5,no and no again
2,hello there
13,Is everything ok?
13,how are u
3,thanks a lot
9,omg what are you doing?
5,no ma'am
11,Why do you exist?
13,how are you doing
0,ok cool
13,how's life been treating you?
13,how are you
2,Hellllooooooo
4,vacation left?
4,how many leave days do i have left?
2,hi Mister
11,how can you help?
0,coolio
11,Can you get us help?
3,thanks so much
2,hellooo
1,can you tell me your name?
13,how are you feeling
13,how are things going
3,cool thank you
5,i'm not sure
4,total leave days for this year?
2,hey bot
1,what are you called?
9,stop this immediately
0,that's correct
5,NEIN
0,ok i accept
13,Ahoy matey how are you?
5,deny
2,ohai
3,cheers bro
2,hello robot
2,hiihihi
0,Sweet
3,thanks balu
2,moin
4,How many days of leave do I have left this year?
10,that's it for now bye
4,how many vacation days do i have?
10,goodnight
13,are you alright
0,ok, I behave now
0,alright
2,good afternoon
2,Hei
2,heya
2,hello
3,thank you very much
2,Hallo
13,what have you been up to lately?
0,I'm sure I will!
0,go for it
7,my apologies
12,Do you cook?
2,hey bot!
0,yes accept please
0,exactly
7,forgive me
4,show me how my vacations look like now
10,that's all goodbye
5,I'm not going to give it to you
8,you are lame
5,decline
13,how are you today
9,start all over
10,bye
10,goodbye
10,laters
5,i don't think so
4,total vacation days for this year?
9,what the hell are you doing?
0,yes please!
3,great thanks
4,how much vacation do i have?
13,what about your day
6,are you human?
4,how much of vacation days i have planned?
1,can i call you something?
2,I said, helllllloooooO!!!!
9,this is total nonsense
0,that's right
3,Thanks
1,What is BALU?
2,aloha
4,how many vacation days do i have taken?
4,how many leave days do i have planned?
3,thanks!
4,how man days of leave do I still have?
13,how is it going
5,no go
2,hi balu
3,thnx
13,how do you do?
13,how are you doing this morning
0,cool
2,Hello
12,Do you always work?
2,hi
0,y
10,you can go now
4,annual left
2,hii
8,annoying
13,how are things with you?
0,okay
2,Hi bot
0,sure
12,you dont know me?
5,absolutely not
9,this does not make sense at all
2,heyho
2,hey balu
5,no I haven't decided yet if I want to sign up
3,danke
4,how many vacation days
13,How are things?
2,hello it is me again
4,what's the number of days i already used for vacation?
13,I'm fine and you
2,hi there
5,I'm not giving you my email address
4,How much leave do I have left?
13,what's good
10,till next time
1,Who is BALU?
0,nice
1,do you have a name?
9,start from the top
2,good morning
13,how is your day going
9,stop this madness
2,Well hello there ;)
8,you suck
8,fuck
7,excuse me
0,right
5,definitely not
0,yop
10,see you later
8,how stupid are you?
2,hi
4,How many leave days did I take this year?
0,absolutely
5,no i don't accept
13,What's up
13,How've you been?
1,and who are you?
2,hey, let's talk
11,why are you there?
12,do you know me?
4,how many leaves do i have planned?
3,cool thanks
2,yoo
5,i'm afraid not
2,Heya
8,wtf
2,hey hey
5,i don't want to
2,hi pal!
7,i'm sorry
8,stupid thing
3,thanks
0,i accept
6,are you a robot?
7,pardon
2,hiii
4,how much annual leave do i have for this year?
2,hello sweatheart
11,what do you know?
4,how many vacation days do i have left for this year?
1,what do people call you?
0,that's what i want
5,nooo
13,How's life treating you friend?
1,tell me your name
13,how is it?
5,no
4,how many vacation days do i have left?
10,bye bye
4,and how much vacation do i have planned already?
13,how's life?
13,is everything okay
4,how many days do i have already taken?
2,howdy
0,yes that is correct
5,no
5,no thanks
2,hai
2,hey dude
10,talk to you later
9,please don't to this
11,how can i save time with you?
4,how many vacation days do i have left this year?
13,is everything all right
0,Sure
0,affirmative
0,yes i accept
0,I changed my mind. I want to accept it
4,what leaves have i planned
10,leave me alone
3,cheers
2,jop
2,hi?
1,how should i address you?
0,perfect
7,sorry
0,of course
5,nah
13,How are you?
13,How was your day?
11,what can you assist me with?
0,yep
4,how many leave days can i still take?
10,gotta go
2,hola
4,How many leave do i have
2,Bonjour
6,you are a bot
6,you're a robot
4,how many days of leave do i have?
13,How's it going
0,great
0,yay
2,Hi
9,can we restart?
11,are you any useful?
11,why can't you tell me my leaves?
3,thanks!
13,how are you doing today my sweet friend
6,what are you?
12,when are you on holiday?
3,thanks for forum link, I'll check it out
8,Get your shit in order AI!
11,help
0,i will!
10,see ya
5,nein
3,Thank you so much
13,how's your day going
4,how much vacation do i have already taken?
2,Good morning
4,how much holiday do i have?
2,hello sweet boy
2,heyo
2,yo
11,whats going on?
11,how can you help me?
13,all good?
2,hi friend
3,Thanks for that
3,cool, thanks
0,oh awesome!
4,how many leaves do i have this year?
7,apologies
13,Do you have a great day?
2,whats up
13,how is your day
2,hi again
3,thank you
10,get lost
2,ayyyy whaddup
5,no way
6,are you a chatbot?
2,hi folks
4,how much vacation plans have i made?
10,catch you later
13,Are you ok?
2,good day
5,I don't want to give it to you
